User_id,Password,Role
shashank.chandrashekara@sjsu.edu,wxyhirx01,student
kruthi.shamanna@sjsu.edu,wxyhirx02,student
vinutha.ramu@sjsu.edu,student03,student
sudarshan.gj@sjsu.edu,student04,student
siri.vennela@sjsu.edu,student05,student
puneeth.rajkumar@sjsu.edu,student06,student
darshan.jn@sjsu.edu,student07,student
sudeep.kishan@sjsu.edu,student08,student
jayanth.as@sjsu.edu,student09,student
virat.kohli@sjsu.edu,student10,student
rohit.sharma@sjsu.edu,student11,student
hardik.pandey@sjsu.edu,student12,student
ishan.kishan@sjsu.edu,professor01,professor
rahul.dravid@sjsu.edu,professor02,professor
nitish.reddy@sjsu.edu,professor03,professor
jani.murthy@sjsu.edu,professor04,professor
pranav.joshi@sjsu.edu,professor05,professor
shravan.b@sjsu.edu,wxyhirx65,student
