email,firstname,lastname,courseId,grades,marks
shashank.chandrashekara@sjsu.edu,Shashank,Chandrashekara,DATA221,C,79.0
kruthi.shamanna@sjsu.edu,Kruthi,Shamanna,DATA200,A,94.0
vinutha.ramu@sjsu.edu,Vinutha,Ramu,DATA202,B,86.0
sudarshan.gj@sjsu.edu,Sudarshan,GJ,DATA201,F,25.0
siri.vennela@sjsu.edu,Hema,Kulkarni,DATA221,C,79.0
puneeth.rajkumar@sjsu.edu,Puneeth,Rajkumar,DATA202,C,70.0
darshan.jn@sjsu.edu,Darshan,JN,DATA200,C,72.0
sudeep.kishan@sjsu.edu,Sudeep,Kishan,DATA221,B,87.0
jayanth.as@sjsu.edu,Sabina,Bedi,DATA200,D,64.0
virat.kohli@sjsu.edu,Virat,Kohli,DATA221,F,50.0
rohit.sharma@sjsu.edu,Lakshmi,Ahuja,DATA201,D,63.0
hardik.pandey@sjsu.edu,Hardik,Pandey,DATA220,C,77.0
shashank.chandrashekara@sjsu.edu,Shashank,Chandrashekara,DATA200,A,91.0
shravan.b@sjsu.edu,Shravan,B,DATA200,A,95.0
